timestamp,baseline_0,baseline_1,baseline_2,baseline_3baseline_4,baseline_5,baseline_6,baseline_7
2023-05-03 10:34:48,2548863827,2488963802,2569708078,2504169571,2615516211,2493879148,2538511358,2570360969
2023-05-03 10:39:52,2547946318,2487128794,2567873162,2502400200,2613681235,2492044225,2536742011,2568460507
2023-05-03 10:44:55,2546373448,2485424852,2566038266,2500565263,2611780722,2490209259,2534907066,2566625532
2023-05-03 10:49:59,2545718083,2484376271,2564137784,2498730278,2609945719,2488308760,2533137609,2564790549
2023-05-03 10:55:02,2545062717,2483589833,2562368311,2496895281,2608110708,2486473759,2531302603,2562890007
2023-05-03 11:00:06,2544538424,2483000004,2560533304,2494994759,2606275703,2484638757,2529402069,2561055007
2023-05-03 11:05:09,2544407346,2482541246,2558894914,2493159762,2604506246,2482803753,2527632595,2559220005
2023-05-03 11:10:13,2544341805,2481885881,2557322053,2491324772,2602605699,2480903217,2525797586,2557384996
2023-05-03 11:15:16,2544210727,2481689267,2556011327,2489489768,2600967295,2479068217,2524486878,2555549994
2023-05-03 11:20:20,2544210722,2481558190,2555093818,2487982435,2600377487,2477233209,2523372772,2554042670
2023-05-03 11:25:23,2544210716,2481689256,2555093812,2487261539,2600246416,2475398207,2522586335,2552863021
2023-05-03 11:30:27,2544472855,2481820323,2554569519,2486475121,2599591053,2473497675,2521930971,2552011055
2023-05-03 11:35:30,2544669457,2481885853,2554110761,2485426545,2598935687,2471662673,2521603290,2551028009
2023-05-03 11:40:34,2545062671,2482213530,2553848612,2484967795,2598935709,2470089823,2521341164,2550569258
2023-05-03 11:45:37,2545259285,2482147998,2553914143,2484902270,2598935735,2468844636,2521079014,2550372676
2023-05-03 11:50:41,2545652518,2482541240,2554241817,2485229985,2599328987,2468516967,2521472251,2550700382
2023-05-03 11:55:45,2545980202,2482934477,2554635028,2485623221,2599722224,2468451439,2521799930,2551093605
2023-05-03 12:00:48,2546373446,2483262173,2555028241,2485950927,2600049925,2468713594,2522193154,2551421326
2023-05-03 12:05:52,2546766668,2483655390,2555355921,2486344146,2600443154,2468910211,2522586376,2551814555
2023-05-03 15:54:49,2539884762,2473955364,2546636560,2476839655,2589890398,2475462803,2514982268,2561708950
2023-05-03 15:59:52,2538049796,2475004078,2546440392,2477036703,2591529238,2475397703,2516096820,2560857422
2023-05-03 16:04:56,2536345902,2474807503,2546702976,2477102506,2591463927,2474349223,2516097260,2559284838
2023-05-03 16:09:59,2534641965,2474414284,2546506790,2476250622,2591070745,2472579796,2515770014,2557580953
2023-05-03 16:15:03,2533593391,2474217694,2546113684,2475071007,2590480968,2470810344,2515180274,2555745975
2023-05-03 16:20:06,2532413738,2473693403,2545130754,2473694777,2589563466,2468975347,2514262820,2554042057
2023-05-03 16:25:10,2531365156,2472644823,2544147824,2472318517,2588383812,2467140336,2513214240,2552207049
2023-05-03 16:30:13,2530251040,2471792849,2542968264,2470745652,2587400767,2465305328,2511837980,2550503116
2023-05-03 16:35:17,2529071387,2470547660,2542116380,2469828168,2586810940,2463404780,2510986014,2548995797
2023-05-03 16:40:20,2528481557,2469564614,2541526660,2469041746,2586614328,2461569768,2510789422,2547685077
2023-05-03 16:45:24,2528874769,2469171393,2541461231,2468583002,2586155571,2459734758,2510134068,2546505428
2023-05-03 16:50:27,2529202443,2468188347,2541395805,2468124244,2585893421,2457899744,2508692271,2545391310
