dateTime,experimentName,duration,braitType,braitDynamic,dcRpmInit,dcRpmMax,dcAlpha,dcK,dcKN,dcKI,dcKD,antennaType,antennaInitSpeed,snsBaselineLeft,snsBaselineRight,snsSensorLeftID,snsSensorRightID,snsSensorLoops,snsStorageSize,sensorSigMax,snsThreshold,snsAbsence,snsThresholdRange,snsInstantRange,snsDynamicRange,snsFilterType,snsFilterCutoff
2023-05-02 13:46:09,updateF_simple_p6_i0,36.39865822499996,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 13:48:21,updateF_simple_p3_i0,37.283425516000534,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 13:51:38,updateF_simple_p5_i0,36.892788565000046,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 13:53:08,updateF_simple_p4_i0,49.76639034300024,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 13:54:44,updateF_simple_p0_i1,37.302881565999996,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 13:56:14,updateF_simple_p8_i1,41.0143970070003,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 13:57:12,updateF_simple_p1_i1,36.1840724220001,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 13:58:37,updateF_simple_p7_i1,37.16838697999992,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 13:59:45,updateF_simple_p2_i1,37.25302879999981,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:01:06,updateF_simple_p6_i1,36.648845326999435,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:04:08,updateF_simple_p3_i1,65.73922514500009,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:05:26,updateF_simple_p5_i1,39.20377445200029,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:06:41,updateF_simple_p4_i1,43.48148168899934,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:08:24,updateF_simple_p0_i2,33.50986148999982,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:09:39,updateF_simple_p8_i2,41.20834875000037,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:10:42,updateF_simple_p1_i2,34.43445938900004,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:12:13,updateF_simple_p7_i2,38.22846621000008,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:13:55,test_plume_p2_i0,57.28136632699989,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:15:09,updateF_simple_p2_i2,38.22699753899997,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:17:20,updateF_simple_p6_i2,42.11743766199925,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:18:48,bottle_test_p6_i0,43.319419682000444,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:20:26,updateF_simple_p3_i2,35.43617372299923,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:21:29,updateF_simple_p5_i2,32.86769210700004,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:22:46,updateF_simple_p4_i2,39.95116900499943,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:23:58,updateF_simple_p0_i3,35.33790458099975,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
