timeStamp,value
0.34913927499974307,0
0.5302394929999537,0
0.7105301769997823,0
0.894174952999947,0
1.0790865909998502,0
1.2595306069997605,0
1.4394019219998881,0
1.6194362339997497,0
1.7992028829999072,0
1.980400183999791,0
2.16018024899995,0
2.3406079329997738,0
2.5241383779998614,0
2.7090372249999746,0
2.8929482079997797,0
3.073160852000001,0
3.2532742059997872,0
3.434419300999707,0
3.6180315369997516,0
3.7984423469997637,0
3.9784143279998716,0
4.159428005999871,0
4.339453528999911,0
4.519209388000036,0
4.6995314490000055,0
4.87955397199994,0
5.060465526999906,0
5.244261428999835,0
5.424542658000064,0
5.607956187999662,0
5.78919840799972,0
5.969425053999657,0
6.153035123999871,0
6.334412633999818,0
6.517732332999913,0
6.698324851000052,0
6.882045253999877,0
7.063322390999929,0
7.246809712999948,0
7.427368440000009,0
7.60740738100003,0
7.791729987000053,0
7.972310713999832,0
8.156046075999711,0
8.340114394000011,0
8.521046533999652,0
8.701372639000056,0
8.884797587999856,0
9.065322940999977,266
9.249958794999657,272
9.430245609999929,274
9.613798682999914,272
9.794109496999681,254
9.975050720999661,253
10.155343326999628,262
10.338856567999755,261
10.519444297000064,271
10.703859487000045,269
10.8881843449999,260
11.071931874999791,251
11.257069140999647,253
11.437445246999687,278
11.621119069999622,272
11.804783934999705,270
11.98632265499964,271
12.169869978999941,268
12.350263293999888,268
12.530147655999826,266
12.711222589000045,272
12.895036161000007,266
13.07533981000006,274
13.258727178999834,268
13.440181524999844,251
13.620237885999813,259
13.800084331999642,271
13.980235399999856,269
14.164714590999665,263
14.34531736300005,263
14.52911506099963,259
14.712900592999631,266
14.894378356999823,258
15.077937223999925,259
15.262035794999974,256
15.44680452600005,258
15.627483297999788,254
15.81104437399972,266
15.994710157999634,252
16.175986173999718,261
16.35985433099995,260
16.540047024999694,262
16.724844172999838,259
16.90524861499989,254
17.088831524999932,258
17.269208050999623,253
17.453692077999676,260
17.634197476999816,253
17.817974510999647,253
17.99841466099997,265
18.18276577300003,258
18.363410754999677,259
18.546651710999868,262
18.72731715200007,264
18.91193534399963,261
19.092318911999882,255
19.272298275999674,255
19.452270058000067,265
19.633204536999983,273
19.816945738999948,265
20.000813022999864,252
20.181013259999872,254
20.365805326999634,261
20.549840651000068,190
20.734030598999652,372
20.918789124999876,258
21.102844948999973,231
21.28686052399962,241
21.468367665999722,200
21.652231783999923,341
21.836209525999948,205
22.020156059999863,318
22.204678296999646,295
22.388846787999682,154
22.572625906999747,180
22.75780392999968,248
22.941937420999693,272
23.125804539,297
23.307081683999968,307
23.490859929999715,155
23.67459955000004,331
23.85881704099984,342
24.04018360200007,342
24.22405384600006,299
24.407751759999883,234
24.592810700999962,238
24.77690881799981,259
24.96092339500001,277
25.144908305999706,218
25.32632307499989,282
25.51010065499986,152
25.69409414899974,279
25.87896738399968,245
26.06287479599996,201
26.247073829999863,243
26.431808733999787,352
26.615975976999835,279
26.799845722999635,385
26.98471512499964,214
27.1688239099999,250
27.352869821999775,258
27.53691556600006,359
27.72182609399988,230
27.905976586999714,413
28.089775709999685,234
28.274807902999783,287
28.458705482999903,388
28.642789686000015,361
28.82785508799998,306
29.01192004099994,402
29.195593207,250
29.380691274999663,482
29.564843311000004,383
29.748817724999753,308
29.929376047000005,460
30.113869329999943,448
30.298104531999797,321
30.48204836299965,412
30.666912766999758,454
30.85108967899987,501
31.034983302,440
31.219689791999826,520
31.403745996999987,345
31.587734368999918,518
31.77540791299998,514
31.972966315999656,559
32.1577975969999,373
32.34173359499982,462
32.525780800999655,461
32.70965421599976,597
32.89480536899964,679
33.0787934089999,423
33.26275865699972,463
33.44774964599992,567
33.6316368949997,390
33.81571485099994,674
34.00052775799986,698
34.184882793999805,597
34.36867087799965,488
34.55363261699995,641
34.73811277799996,669
34.92194061199962,679
35.10681164399966,711
35.29082705899964,473
35.47476318400004,732
35.658932556999844,764
35.8439322549998,568
36.02799125299998,675
36.2119514609999,586
36.39671949500007,847
36.580958867999925,738
36.7644610389998,741
36.9497116929997,647
37.13370536000002,564
37.31778010900007,811
37.50276480799994,776
37.68664018499976,853
37.870736766999926,803
38.05456760299967,562
38.23598204599966,809
38.41970884099965,716
38.60345205299973,753
38.78484691299991,675
38.968633040999975,963
39.15243521000002,846
39.33678495799995,639
39.51820236000003,861
39.701992571999654,1038
39.88593340699981,932
40.07096785699969,734
40.254993775,579
40.438957901999856,722
40.623679105000065,694
40.80765039900007,901
40.99189352299982,1144
41.17688872300005,669
41.361003974999676,1013
41.54496339399975,931
41.72875248199989,1103
41.913810474,1117
42.09791022499985,1027
42.28142710799966,1012
42.4664123929997,1032
42.65069568399986,878
42.83455518899973,913
43.01952922400005,1020
43.203563184999894,947
43.387607103999926,859
43.56889150999996,912
43.752777888999844,1080
43.93674022599998,933
44.120658064000054,1032
44.30557218399963,817
44.48987026799978,757
44.67380223099963,808
44.85881464099975,1075
45.04268564699987,678
45.22650798599989,907
45.41153231299995,842
45.595872897999925,556
45.779506988999856,969
45.96432752700002,991
46.14870481999969,575
46.332858739999665,704
46.516600621999714,817
46.697909570999855,836
46.881850867999674,821
47.06552054299982,962
47.250195707999865,806
47.43450879400007,640
47.61841292500003,874
47.79992657999992,924
47.98360525499993,864
48.1676678849999,735
48.35160139199979,696
48.536475806,569
48.72050256199964,941
48.904601524999634,580
49.089385107,551
49.27374515099973,788
49.457669158000044,678
49.642789486999845,677
49.82664445299997,713
50.01075291699999,727
50.19566712300002,559
50.37965971299991,524
50.56362301199988,464
50.74781972499977,678
50.93249393399992,704
51.11652298199988,582
51.300473573999625,463
51.48561744499966,727
51.669598785999824,511
51.853660167999806,581
52.03850720799983,425
52.22240775899991,575
52.40644072499981,529
52.59145101399963,462
52.77552264699989,412
52.959549529000014,548
53.14347332999978,561
53.32474698999977,504
53.50846558500007,538
53.692334344999836,495
53.87729067700002,777
54.06138085099974,661
54.24536915199997,692
54.42699972599985,634
54.61080715399976,718
54.794811412999934,542
54.97855459099992,455
55.16322250999974,694
55.34776043099964,855
55.53143123499967,584
55.71667039899967,887
55.90038124500006,707
56.08457075199976,489
56.26952725299998,616
56.453545136999765,769
56.63763672999994,873
56.8224635229999,991
57.00674119699988,648
57.19058529199992,855
57.37437722100003,844
57.55931005599996,936
57.743949684999734,633
57.92771257300001,1049
58.11273373999984,952
58.29656571099986,990
58.48058930499974,758
58.665461223999955,713
58.849533233999864,1009
59.03340953799989,1150
59.218527246999656,774
59.402557591000004,1130
59.58631035500002,925
59.77061336399993,778
59.95558990699965,1043
60.13956666900003,1151
60.32323780899969,720
60.5087056819998,1026
60.69276115100001,942
60.876738829999795,1049
61.06171224899981,1169
61.24538097300001,983
61.4294059849999,810
61.614531902999715,907
61.798547332,1003
61.98239355499982,956
62.167348390999905,647
62.35155677700004,750
62.535519082000064,830
62.7193113469998,963
62.90086300899975,871
63.08439281899973,957
63.26852070599989,975
63.45332771099993,980
63.6376618459999,682
63.821550235999894,972
64.00626661699971,635
64.19053987799998,592
64.37461755799995,729
64.55852373900007,901
64.74368753399995,767
64.9275408819999,775
65.11150427199982,679
65.29285102099993,569
65.47641683099982,910
65.66061721799997,551
65.84534418399971,762
66.02961119599968,515
66.21334779599965,569
66.3984573419998,757
66.58261806399969,506
66.76652737099994,427
66.95060884399982,632
67.13538830900006,551
67.31949490699981,828
67.50344083999971,367
67.68840172099999,382
67.87216890499985,539
68.05623050299982,536
68.24138292399994,546
68.42530152399968,540
68.6092387069998,514
68.79442662799966,506
68.97845468599962,436
69.1624682849997,424
69.346518801,571
69.53159226499974,375
69.71558723999988,580
69.89956313099992,314
70.0808515079998,470
70.26440544499974,589
70.44846341999983,413
70.63323647099969,528
70.81724761299984,427
71.00142546100005,430
71.18636188599976,469
71.37058552600001,486
71.55434967099973,361
71.73843777100001,455
71.91972306499974,330
72.10330275299975,501
72.28722185499964,468
72.47247406899987,374
72.65642837899986,486
72.842994954,316
73.03349015799995,388
73.21725071999981,471
73.40152277799962,377
73.5865723689999,238
73.77050534599994,249
73.95449757300003,382
74.13587824199976,277
74.31962726399979,267
74.50348244999986,434
74.68752646899975,488
74.86863172499989,277
75.05252457799998,271
75.23648726400006,256
75.42116777699994,408
75.60525300299969,360
75.78965655999991,272
75.97438994699996,438
76.15842034199977,375
76.34256106799967,391
76.52649371400003,496
76.71140676599998,388
76.89557411799979,435
77.07939851399988,248
77.26427102599973,199
77.44844504399998,362
77.63222610799994,344
77.81741828399981,240
78.00115551499994,211
78.18498011999964,289
78.37002838099988,254
