timeStamp,velocityLeft,velocityRight,velocityRef
0.0006172657012939453,2.91,2.1,0
0.001066446304321289,2.64,2.59,0
0.0014996528625488281,2.41,3.03,0
0.001932382583618164,2.19,2.76,0
0.002360820770263672,2.67,3.19,0
0.0027947425842285156,3.1,3.57,0
0.0032629966735839844,3.39,3.81,0
0.003693819046020508,3.64,4.03,0
0.004122018814086914,3.31,4.35,0
0.004553794860839844,3.69,5.31,0
0.004982709884643555,4.04,5.5,0
0.005412101745605469,4.35,5.01,0
0.005840301513671875,4.63,5.23,0
0.006269216537475586,4.89,5.44,0
0.00671696662902832,5.13,5.62,0
0.007147312164306641,4.67,5.79,0
0.007578611373901367,4.92,5.27,0
0.008009672164916992,5.15,5.47,0
0.008439779281616211,4.69,5.65,0
0.008870601654052734,4.94,5.14,0
0.00930023193359375,5.17,5.36,0
0.009745121002197266,4.71,5.55,0
0.01017451286315918,4.28,5.05,0
0.010602951049804688,4.58,4.6,0
0.011030912399291992,4.84,4.86,0
0.01146245002746582,4.4,5.09,0
0.011892318725585938,4.01,4.64,0
0.01232004165649414,3.65,4.22,0
0.01274728775024414,3.32,3.84,0
0.01319122314453125,3.7,3.49,0
0.013621807098388672,4.04,3.18,0
0.014050960540771484,3.68,3.57,0
0.014480829238891602,3.34,3.92,0
0.014913320541381836,3.04,3.57,0
0.01534414291381836,2.77,3.25,0
0.01577472686767578,2.52,2.96,0
0.016205549240112305,2.29,2.69,0
0.016651153564453125,2.09,2.45,0
0.017077922821044922,1.9,2.23,0
0.01750349998474121,1.73,2.03,0
0.0179288387298584,1.57,1.84,0
0.018356800079345703,1.43,1.68,0
0.018782377243041992,1.3,1.53,0
0.01920938491821289,1.18,1.39,0
0.019635915756225586,1.08,1.26,0
0.020079374313354492,0.98,1.15,0
0.020508766174316406,0.89,1.05,0
0.02093982696533203,0.81,0.95,0
0.02137017250061035,0.74,0.87,0
0.02180004119873047,0.67,0.79,0
0.02222919464111328,0.61,0.72,0
0.022658586502075195,0.56,0.65,0
0.023102998733520508,0.51,0.59,0
0.023534059524536133,0.46,0.54,0
0.02396249771118164,0.42,0.49,0
