timestamp,baseline_0,baseline_1,baseline_2,baseline_3baseline_4,baseline_5,baseline_6,baseline_7
2023-05-02 09:35:52,2547094102,2483917328,2516230161,2455213347,2579798164,2423493469,2483330137,2524813040
2023-05-02 09:40:56,2547356262,2484048402,2516426764,2455213342,2579994782,2423559008,2483526751,2525075188
2023-05-02 09:45:59,2547552872,2484376093,2516688902,2455541042,2579929242,2423886699,2483657825,2525337330
2023-05-02 09:51:03,2547815028,2484638253,2517016581,2455934273,2580256942,2424214392,2483985513,2525599482
2023-05-02 09:56:06,2548077172,2485031481,2517409813,2456327501,2580519093,2424411007,2484247675,2525861637
2023-05-02 10:01:10,2548273813,2485424709,2517671994,2456589657,2580846798,2424804235,2484378794,2526189343
2023-05-02 10:06:13,2548667061,2485752425,2518065255,2456982900,2581240035,2425131943,2484706512,2526582582
2023-05-02 10:11:17,2549060293,2486145647,2518458495,2457310590,2581633267,2425525168,2485099742,2526975802
2023-05-02 10:16:20,2549387988,2486538885,2518786202,2457703821,2581960971,2425918392,2485427448,2527303495
2023-05-02 10:21:24,2549781217,2486866592,2519179422,2458097082,2582354191,2426246105,2485820685,2527696743
2023-05-02 10:26:27,2550174452,2487259829,2519572635,2458424787,2582747424,2426639332,2486213927,2528089977
2023-05-02 10:31:31,2550502145,2487653055,2519900321,2458818014,2583075119,2427032564,2486541622,2528417668
2023-05-02 10:36:34,2550895376,2487980742,2520293534,2459211240,2583468339,2427360252,2486934840,2528810894
2023-05-02 10:41:38,2551223056,2488373957,2520686750,2459538922,2583796019,2427753472,2487328057,2529204111
2023-05-02 10:46:41,2551616277,2488767185,2521014444,2459932149,2584189235,2428146694,2487655743,2529531798
2023-05-02 10:51:45,2552009499,2489094885,2521407660,2460325391,2584582453,2428474390,2488048972,2529925030
2023-05-02 10:56:49,2552337195,2489488112,2521800899,2460653088,2584910145,2428867624,2488442191,2530318263
2023-05-02 11:01:52,2552730410,2489881329,2522128580,2461046305,2585303362,2429260841,2488769871,2530645943
2023-05-02 11:06:56,2553123626,2490209009,2522521796,2461439521,2585696578,2429588521,2489163087,2531039159
2023-05-02 11:11:59,2553451306,2490602225,2522915012,2461767201,2586024261,2429981737,2489556303,2531366839
2023-05-02 11:17:03,2553844522,2490995441,2523242692,2462160417,2586417480,2430374953,2489883983,2531760055
2023-05-02 11:22:06,2554237749,2491323124,2523635955,2462488097,2586810733,2430702637,2490277241,2532153282
2023-05-02 11:27:10,2554565458,2491716365,2524029245,2462881357,2587138458,2431095881,2490670508,2532481003
2023-05-02 11:32:13,2554958728,2492109632,2524357028,2463274633,2587531730,2431423614,2490998263,2532874281
2023-05-02 11:37:17,2555351944,2492437312,2524750244,2463602313,2587924946,2431816830,2491391479,2533267497
2023-05-02 11:42:20,2555679624,2492830528,2525077924,2463995529,2588252626,2432210046,2491719159,2533595177
2023-05-02 11:47:24,2556072840,2493223744,2525471140,2464323209,2588645842,2432472190,2492046839,2533988393
2023-05-02 11:52:28,2556334984,2493420352,2525798820,2464388745,2588907986,2432406654,2491981303,2534185001
2023-05-02 11:57:31,2556334984,2493420352,2525995428,2464519817,2589104594,2432341118,2491915767,2534316073
2023-05-02 12:02:35,2556400520,2493551424,2526192036,2464585353,2589104594,2432341118,2491850231,2534381609
2023-05-02 12:07:38,2556334984,2493551424,2526323108,2464519817,2589039058,2432275582,2491719159,2534316073
2023-05-02 12:12:42,2556269448,2493551424,2526519716,2464519817,2588973522,2432210046,2491653623,2534381609
2023-05-02 12:17:45,2556203912,2493551424,2526716324,2464388745,2588973522,2432078974,2491522551,2534316073
