timeStamp,bestIndividual
46.27630532799958,[0.50071866 3.93927354]
57.32585493199986,[0.232142   1.96645044]
68.37342532299954,[0.1815996  7.01134952]
79.41899781499978,[0.18504608 6.41075956]
90.46537028199964,[1.83921173 3.60240428]
101.50263543499932,[0.8904537  9.10235612]
112.54683462100002,[0.49284072 8.7195449 ]
123.59666695499982,[1.04337894 5.49127826]
134.65933090999988,[1.69203395 1.38547468]
145.7107954160001,[1.11877247 5.73586722]
156.7686858649995,[1.12331601 6.94152769]
167.82000914199944,[1.87742759 3.36371237]
178.86528086899943,[1.33356578 1.8082364 ]
189.9076703239998,[1.55730796 8.08429268]
200.9585958329999,[0.48277464 6.59075944]
