timeStamp,bestIndividual
43.59579880900128,[1.10950958e-01 6.77497939e-01 3.55543378e+03 2.31990994e+03]
54.654851699000574,[1.99655188e+00 9.79498594e+00 3.89081718e+03 4.85463509e+03]
65.71710240500033,[2.51921840e-01 3.66911256e+00 1.30254337e+03 1.30137268e+03]
76.7760741080001,[1.16573920e+00 7.69038966e+00 3.35145828e+03 9.04064446e+02]
