timeStamp,bestIndividual
44.34283183600019,[0.50397127 9.90995787]
55.37500123500013,[1.40792887 8.94282416]
66.42007229499995,[0.00397345 1.73790518]
77.46054721900009,[1.5622441  6.20454956]
88.4960509550001,[1.06804928 5.46654753]
99.52854782700024,[1.80237668 9.43197288]
110.57015350200027,[1.90002047 8.61259701]
121.61000354999987,[1.65268129 5.47091554]
132.6536087710001,[0.56679918 0.53216976]
143.6958352219999,[0.12785785 7.66312815]
154.731989504,[1.7560477  8.08502183]
165.75334073000022,[1.96831158 2.59946835]
176.7939784099999,[0.86036545 6.9316483 ]
183.32534698300014,[1.12788079 0.4878862 ]
