dateTime,experimentName,duration,braitType,braitDynamic,dcRpmInit,dcRpmMax,dcAlpha,dcK,dcKN,dcKI,dcKD,antennaType,antennaInitSpeed,snsBaselineLeft,snsBaselineRight,snsSensorLoops,snsStorageSize,sensorSigMax,snsThreshold,snsAbsence,snsThresholdRange,snsInstantRange,snsDynamicRange,snsFilterType,snsFilterCutoff
2023-05-01 12:32:00,updateA_simple_p0_i0,36.606782790999986,1,False,30,50,1,1,1,10,5,2,25.0,2496434892,2555351820,5,50,1500,150,10,5,5,20,2,0.1
2023-05-01 12:36:05,updateA_simple_p8_i0,33.76357238400004,1,False,30,50,1,1,1,10,5,2,25.0,2497417815,2557973200,5,50,1500,150,10,5,5,20,2,0.1
2023-05-01 12:37:15,updateA_simple_p1_i0,31.743756779000023,1,False,30,50,1,1,1,10,5,2,25.0,2479919088,2541064290,5,50,1500,150,10,5,5,20,2,0.1
2023-05-01 12:38:31,updateA_simple_p7_i0,40.799584941000035,1,False,30,50,1,1,1,10,5,2,25.0,2506068091,2571342054,5,50,1500,150,10,5,5,20,2,0.1
2023-05-01 12:40:26,updateA_simple_p2_i0,73.31561404299998,1,False,30,50,1,1,1,10,5,2,25.0,2344258644,2404551977,5,50,1500,150,10,5,5,20,2,0.1
2023-05-01 12:41:35,updateA_simple_p6_i0,32.68711148099999,1,False,30,50,1,1,1,10,5,2,25.0,2478280340,2556006174,5,50,1500,150,10,5,5,20,2,0.1
2023-05-01 12:43:26,updateA_simple_p3_i0,62.600510301999975,1,False,30,50,1,1,1,10,5,2,25.0,2442955635,2507967405,5,50,1500,150,10,5,5,20,2,0.1
2023-05-01 12:44:57,updateA_simple_p5_i0,49.69817353600001,1,False,30,50,1,1,1,10,5,2,25.0,2469170333,2541194605,5,50,1500,150,10,5,5,20,2,0.1
2023-05-01 12:46:05,updateA_simple_p4_i0,32.53242917199998,1,False,30,50,1,1,1,10,5,2,25.0,2460323273,2520026751,5,50,1500,150,10,5,5,20,2,0.1
2023-05-01 12:47:35,test_connection_p0_i0,22.070386488000167,1,False,30,50,1,1,1,10,5,2,25.0,2417003544,2479066235,5,50,1500,150,10,5,5,20,2,0.1
2023-05-01 12:48:56,updateA_simple_p0_i1,49.92770279199999,1,False,30,50,1,1,1,10,5,2,25.0,2377353996,2463337506,5,50,1500,150,10,5,5,20,2,0.1
2023-05-01 12:50:06,updateA_simple_p8_i1,41.93822847799993,1,False,30,50,1,1,1,10,5,2,25.0,2466352598,2527301189,5,50,1500,150,10,5,5,20,2,0.1
