timeStamp,value
0.8274025319999327,0
0.9574025319999327,0
1.0874025319999328,0
1.2174025319999329,0
1.3474025319999328,0
1.4983937109998169,0
1.628393710999817,0
1.7583937109998171,0
1.888393710999817,0
2.018393710999817,0
2.174364161999829,0
2.304364161999829,0
2.434364161999829,0
2.564364161999829,0
2.694364161999829,0
2.84655050499985,0
2.9765505049998504,0
3.1065505049998503,0
3.23655050499985,0
3.36655050499985,0
3.5171638899998743,0
3.6471638899998746,0
3.7771638899998745,0
3.9071638899998744,0
4.037163889999874,0
4.193082375999874,0
4.323082375999874,0
4.453082375999874,0
4.583082375999874,0
4.713082375999875,0
4.86547478800001,0
4.99547478800001,0
5.12547478800001,0
5.25547478800001,0
5.3854747880000104,0
5.536441073999849,0
5.666441073999849,0
5.796441073999849,0
5.9264410739998485,0
6.056441073999849,0
6.212411132999914,0
6.3424111329999135,0
6.472411132999913,0
6.602411132999913,0
6.732411132999914,0
6.884323669999939,0
7.014323669999939,0
7.144323669999939,0
7.274323669999939,0
7.40432366999994,0
7.556620044999799,0
7.686620044999799,0
7.816620044999799,0
7.946620044999799,0
8.0766200449998,0
8.231525779999838,0
8.361525779999837,0
8.491525779999838,0
8.621525779999837,0
8.751525779999838,0
8.903085894999986,0
9.033085894999985,0
9.163085894999986,0
9.293085894999985,0
9.423085894999986,0
9.57543729799998,0
9.705437297999978,0
9.83543729799998,0
9.965437297999978,0
10.095437297999979,0
10.247498654999827,0
10.377498654999826,0
10.507498654999827,0
10.637498654999826,0
10.767498654999827,0
10.922109621999862,0
11.052109621999861,0
11.182109621999862,0
11.312109621999861,445
11.442109621999862,440
11.594397761999954,439
11.724397761999953,436
11.854397761999953,436
11.984397761999952,426
12.114397761999953,440
12.270058919999865,432
12.400058919999864,442
12.530058919999865,441
12.660058919999864,421
12.790058919999865,420
12.942187501000017,438
13.072187501000016,436
13.202187501000017,424
13.332187501000016,431
13.462187501000017,421
13.613308480999859,427
13.743308480999858,431
13.873308480999858,438
14.003308480999857,435
14.133308480999858,431
14.289168205999868,428
14.419168205999867,422
14.549168205999868,436
14.679168205999867,430
14.809168205999867,436
14.961202316999998,432
15.091202316999997,423
15.221202316999998,432
15.351202316999997,419
15.481202316999997,430
15.63340347099982,438
15.763403470999819,445
15.89340347099982,452
16.02340347099982,451
16.15340347099982,464
16.186266111999867,480
16.31626611199987,486
16.44626611199987,520
16.576266111999868,574
16.706266111999867,560
16.734381852999814,592
16.864381852999816,717
16.994381852999815,718
17.124381852999814,755
17.254381852999813,557
17.287303004000005,821
17.417303004000008,933
17.547303004000007,871
17.677303004000006,724
17.807303004000005,915
17.840166374999836,972
17.970166374999838,962
18.100166374999837,974
18.230166374999836,1010
18.360166374999835,1039
18.38910239699997,1049
18.519102396999973,896
18.64910239699997,1161
18.77910239699997,1238
18.90910239699997,1126
18.94198936099995,1235
19.071989360999954,1186
19.201989360999953,1267
19.331989360999952,1303
19.46198936099995,1443
19.556260996999963,1374
19.686260996999966,1150
19.816260996999965,1353
19.946260996999964,1418
20.076260996999963,1321
20.208027655999995,1372
20.338027655999998,1297
20.468027655999997,1207
20.598027655999996,1137
20.728027655999995,1278
20.859141683999933,1318
20.989141683999936,1346
21.119141683999935,1321
21.249141683999934,1420
21.379141683999933,1639
21.506286037999853,1716
21.636286037999856,1736
21.766286037999855,1907
21.896286037999854,2055
22.026286037999853,2000
22.157136977999908,2094
22.28713697799991,1829
22.41713697799991,2341
22.54713697799991,2431
22.677136977999908,2034
22.808374065999924,2145
22.938374065999927,2274
23.068374065999926,2507
23.198374065999925,2761
23.328374065999924,2669
23.45629346299982,2653
23.586293462999823,2745
23.716293462999822,2907
23.84629346299982,2955
23.97629346299982,2992
24.10698842199984,3173
24.236988421999843,3055
24.366988421999842,4051
24.49698842199984,2960
24.62698842199984,3449
24.757931741999965,3223
24.887931741999967,3680
25.017931741999966,3750
25.147931741999965,3780
25.277931741999964,3645
25.409034268999886,3519
25.539034268999888,3198
25.669034268999887,3554
25.799034268999886,3188
25.929034268999885,3539
26.056396796999916,3524
26.18639679699992,4096
26.316396796999918,3148
26.446396796999917,3529
26.576396796999916,3720
26.70823528699996,4292
26.838235286999964,3534
26.968235286999963,3800
27.098235286999962,3685
27.22823528699996,3690
27.359181746999848,3895
27.48918174699985,3620
27.61918174699985,3805
27.74918174699985,3745
27.879181746999848,3916
28.01016172999992,4076
28.14016172999992,4738
28.27016172999992,3319
28.40016172999992,3580
28.530161729999918,3835
28.657326604999962,4758
28.787326604999965,4176
28.917326604999964,4026
29.047326604999963,4628
29.177326604999962,4628
29.309079232999903,4703
29.439079232999905,4873
29.569079232999904,4683
29.699079232999903,4899
29.829079232999902,4628
29.95989798200001,4748
30.089897982000014,5235
30.219897982000013,4407
30.349897982000012,4919
30.47989798200001,4267
30.61094685299984,5189
30.740946852999844,4232
30.870946852999843,4643
31.000946852999842,4532
31.13094685299984,4793
31.258229938999857,4768
31.38822993899986,5004
31.51822993899986,4934
31.648229938999858,4753
31.778229938999857,4813
31.908911577999998,4713
32.038911578,4216
32.168911578,5134
32.298911578,3695
32.428911578,3700
