timestamp,sensor0,sensor1,sensor2
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:44,0,0,0
2023-05-15 11:43:45,0,0,0
2023-05-15 11:43:45,0,0,0
2023-05-15 11:43:45,0,0,0
2023-05-15 11:43:45,0,0,0
2023-05-15 11:43:45,0,0,0
2023-05-15 11:43:45,0,0,0
2023-05-15 11:43:46,0,0,0
2023-05-15 11:43:46,0,0,0
2023-05-15 11:43:46,0,0,0
2023-05-15 11:43:46,0,0,0
2023-05-15 11:43:46,0,0,0
2023-05-15 11:43:46,0,0,0
2023-05-15 11:43:47,0,0,0
2023-05-15 11:43:47,0,0,0
2023-05-15 11:43:47,0,0,0
2023-05-15 11:43:47,0,0,0
2023-05-15 11:43:47,0,0,0
2023-05-15 11:43:47,0,0,0
2023-05-15 11:43:48,0,0,0
2023-05-15 11:43:48,0,0,0
2023-05-15 11:43:48,0,0,0
2023-05-15 11:43:48,0,0,0
2023-05-15 11:43:48,0,0,0
2023-05-15 11:43:48,0,0,0
2023-05-15 11:43:48,0,0,0
2023-05-15 11:43:49,0,0,0
2023-05-15 11:43:49,0,0,0
2023-05-15 11:43:49,0,0,0
2023-05-15 11:43:49,0,0,0
2023-05-15 11:43:49,0,0,0
2023-05-15 11:43:49,0,0,0
2023-05-15 11:43:50,0,0,0
2023-05-15 11:43:50,0,0,0
2023-05-15 11:43:50,0,0,0
2023-05-15 11:43:50,0,0,0
2023-05-15 11:43:50,0,0,0
2023-05-15 11:43:50,0,0,0
2023-05-15 11:43:51,0,0,0
2023-05-15 11:43:51,0,0,0
2023-05-15 11:43:51,0,0,0
2023-05-15 11:43:51,0,0,0
2023-05-15 11:43:51,0,0,0
2023-05-15 11:43:51,0,0,0
2023-05-15 11:43:51,0,0,0
2023-05-15 11:43:52,0,0,0
2023-05-15 11:43:52,0,0,0
2023-05-15 11:43:52,0,0,0
2023-05-15 11:43:52,0,0,0
2023-05-15 11:43:52,0,0,0
2023-05-15 11:43:52,0,0,0
2023-05-15 11:43:53,0,0,0
2023-05-15 11:43:53,0,0,0
2023-05-15 11:43:53,0,0,0
2023-05-15 11:43:53,0,0,0
2023-05-15 11:43:53,0,0,0
2023-05-15 11:43:53,0,0,0
2023-05-15 11:43:54,0,0,0
2023-05-15 11:43:54,0,0,0
2023-05-15 11:43:54,0,0,0
2023-05-15 11:43:54,0,0,0
2023-05-15 11:43:54,0,0,0
2023-05-15 11:43:54,0,0,0
2023-05-15 11:43:54,4,0,0
2023-05-15 11:43:55,11,0,0
2023-05-15 11:43:55,6,0,0
