timestamp,baseline_0,baseline_1,baseline_2
2023-05-05 16:44:29,2439482160,2374994667,2374798917
2023-05-05 16:49:30,2437581610,2373028581,2372832831
2023-05-05 16:54:32,2436074296,2372700920,2372308585
2023-05-05 16:59:33,2436270912,2373028616,2372636279
2023-05-05 17:04:34,2435550015,2373421838,2373029506
2023-05-05 17:09:35,2435746646,2373815073,2373422751
2023-05-05 17:14:37,2435812196,2374208286,2373815965
2023-05-05 17:19:38,2436008798,2374601504,2374209175
2023-05-05 17:24:39,2436402008,2374994719,2374602390
2023-05-05 17:29:40,2436795218,2375387929,2374995600
2023-05-05 17:34:42,2437188428,2375781144,2375323279
2023-05-05 17:39:43,2437516101,2376174360,2375716496
2023-05-05 17:44:44,2437909323,2376567579,2376109720
2023-05-05 17:49:46,2438302544,2376895262,2376502949
2023-05-05 17:54:47,2438695773,2377288485,2376896163
2023-05-05 17:59:48,2439089003,2377681708,2377289387
2023-05-05 18:04:49,2439482224,2378074924,2377682607
2023-05-05 18:09:51,2439875449,2378468144,2378075831
2023-05-05 18:14:52,2440268675,2378861384,2378469077
2023-05-05 18:19:53,2440661901,2379254601,2378862300
2023-05-05 18:24:54,2441055122,2379647824,2379255521
2023-05-05 18:29:56,2441448349,2380041050,2379648748
2023-05-05 18:34:57,2441841574,2380434284,2380041992
2023-05-05 18:39:58,2442234798,2380827501,2380435212
2023-05-05 18:45:00,2442628025,2381220731,2380828440
2023-05-05 18:50:01,2443021246,2381613952,2381221677
2023-05-05 18:55:02,2443414473,2382007183,2381614911
2023-05-05 19:00:03,2443807700,2382400405,2382008133
2023-05-05 19:05:05,2444200923,2382793630,2382401356
2023-05-05 19:10:06,2444594151,2383186849,2382794587
2023-05-05 19:15:07,2444987375,2383580069,2383187808
2023-05-05 19:20:08,2445380597,2383973301,2383581044
2023-05-05 19:25:10,2445773820,2384366519,2383974267
2023-05-05 19:30:11,2446167047,2384759740,2384367487
2023-05-05 19:35:12,2446560268,2385152963,2384760711
2023-05-05 19:40:13,2446953488,2385546183,2385153942
2023-05-05 19:45:15,2447346714,2385939407,2385547162
2023-05-05 19:50:16,2447739937,2386332633,2385874848
