timeStamp,stateID,sensorLeft,sensorRight,servoLeft,servoRight,dcLeft,dcRight
0.6521368789999542,1,0,0,2000,1000,0,0
1.303265019999344,1,0,0,2000,1000,0,0
1.9531217589992593,1,0.0,0.0,2000,1000,0,0
2.6030613339999036,1,0.0,0.0,2000,1000,0,0
3.2530375769993043,1,0.0,0.0,2000,1000,0,0
3.90304603200002,1,0.0,0.0,2000,1000,0,0
4.553119322999919,1,0.0,0.0,2000,1000,0,0
5.204040191999411,1,0.0,0.0,2000,1000,0,0
5.853998404999402,1,0.0,0.0,2000,1000,0,0
6.5121276329991815,1,0.0,0.0,2000,1000,0,0
7.156126488999689,1,0.0,0.0,2000,1000,0,0
7.80598596299933,1,0.0,0.0,2000,1000,0,0
8.456046979999883,1,0.0,0.0,2000,1000,0,0
9.1058532929992,1,0.0,0.0,2000,1000,0,0
9.756177729999763,1,0.0,0.0,2000,1000,0,0
10.40590905099998,1,0.0,0.0,2000,1000,0,0
11.05604041099923,1,0.0,0.0,2000,1000,0,0
11.706818353000017,1,1780.6,697.0,2000,1000,0,0
12.356819388000076,1,1823.8,1728.0,2000,1000,0,0
13.006996049000008,1,1785.8,1724.0,2000,1000,0,0
13.656990548000067,1,1832.6,1772.8,2000,1000,0,0
14.30709642399961,1,1847.8,1837.2,2000,1000,0,0
14.956806638999296,1,1892.2,1869.8,2000,1000,0,0
15.606843313999889,2,2009.4,1944.8,2313,686,30,30
16.256957990000046,2,2092.4,1990.4,1006,1993,30,30
16.906953877999513,2,2160.0,2021.6,1750,1250,30,30
17.55792655299956,2,2174.4,1981.4,2313,686,30,30
18.207902696999554,2,2197.6,2001.0,1006,1993,30,30
18.85793576099968,3,2293.6,2074.4,1750,1250,23.643333333333334,24.556666666666665
19.50781287099926,4,2609.6,2407.8,2313,686,20.065,21.746666666666666
20.15794085499965,4,2902.8,2634.8,1006,1993,21.956666666666667,24.19
20.80774742899939,4,3054.0,2767.4,1750,1250,23.061666666666667,25.45
21.457795462999457,4,3213.4,2872.8,2313,686,23.94,26.778333333333332
22.10787733199959,4,3245.6,2892.8,1006,1993,24.10666666666667,27.046666666666667
22.75787191299969,4,3147.2,2728.0,1750,1250,22.733333333333334,26.226666666666663
23.40800841300006,4,3036.2,2791.6,2313,686,23.263333333333332,25.301666666666666
24.057867041999998,4,2998.6,2816.8,1006,1993,23.473333333333336,24.988333333333333
24.707716299999447,4,2992.0,2771.2,1750,1250,23.09333333333333,24.933333333333334
25.357761391999702,4,3112.8,2952.0,2313,686,24.6,25.94
26.008808143999886,4,3438.2,2963.4,1006,1993,24.695,28.651666666666664
26.658906616999957,4,3409.0,2974.6,1750,1250,24.788333333333334,28.40833333333333
27.308884759999273,4,3539.6,3494.4,2313,686,29.12,29.496666666666666
27.95907532000001,4,3624.0,3560.4,1006,1993,29.67,30.2
28.608963594999295,4,3708.0,3583.6,1750,1250,29.863333333333333,30.9
29.258962995999354,4,3748.0,3853.4,2313,686,32.111666666666665,31.233333333333334
29.908717192999575,4,4060.0,4026.8,1006,1993,33.556666666666665,33.833333333333336
30.558721350999804,4,4221.6,4150.0,1750,1250,34.583333333333336,35.18
31.208653843999855,4,4244.6,4198.2,2313,686,34.985,35.37166666666667
31.858948503999272,4,4429.0,4472.2,1006,1993,37.26833333333333,36.90833333333333
32.509828702999584,4,4212.6,4104.2,1750,1250,34.20166666666667,35.105000000000004
33.15969274700001,4,4102.0,3668.8,2313,686,30.573333333333334,34.18333333333333
33.809821833999194,4,3891.6,3613.6,1006,1993,30.113333333333333,32.43
34.46107320499959,4,3685.0,3868.2,1750,1250,32.235,30.708333333333332
35.109794974999204,4,3663.8,3782.2,2313,686,31.51833333333333,30.531666666666666
35.759800696999264,4,3682.0,4060.0,1006,1993,33.833333333333336,30.683333333333334
