timestamp,left_tVOC,left_CO2,left_baseline,right_tVOC,right_CO2,right_baseline
2023-05-01 00:06:00,6,400,2345831480,1,400,2413268110
2023-05-01 00:11:03,0,400,2346224707,12,400,2413661330
2023-05-01 00:16:05,3,400,2346617925,0,400,2414054556
2023-05-01 00:21:08,4,400,2347011148,6,400,2414447777
2023-05-01 00:26:11,7,400,2347404367,8,400,2414841000
2023-05-01 00:31:13,0,400,2347797593,6,400,2415234220
2023-05-01 00:36:16,0,400,2348190818,5,400,2415627446
2023-05-01 00:41:18,0,400,2348584044,5,400,2416020671
2023-05-01 00:46:21,3,400,2349042800,7,400,2416413896
2023-05-01 00:51:24,0,400,2349436027,10,400,2416807113
2023-05-01 00:56:26,2,400,2349829246,6,400,2417200337
2023-05-01 01:01:29,9,400,2350222468,3,400,2417593560
2023-05-01 01:06:32,2,400,2350615688,10,400,2417986783
2023-05-01 01:11:34,5,400,2351008906,9,400,2418445538
2023-05-01 01:16:37,3,400,2351402128,1,400,2418838760
2023-05-01 01:21:39,11,400,2351795350,6,400,2419231984
2023-05-01 01:26:42,5,400,2352188572,10,400,2419625204
2023-05-01 01:31:45,6,400,2352581791,5,400,2420018427
2023-05-01 01:36:47,0,400,2352975010,3,400,2420411646
2023-05-01 01:41:50,1,400,2353368233,0,400,2420804870
2023-05-01 01:46:53,5,400,2353761458,4,400,2421198091
2023-05-01 01:51:55,3,400,2354154677,6,400,2421591309
2023-05-01 01:56:58,6,400,2354547899,2,400,2421984534
2023-05-01 02:02:00,3,400,2355006658,8,400,2422377753
2023-05-01 02:07:03,7,400,2355399877,0,400,2422770976
2023-05-01 02:12:06,3,400,2355793096,6,400,2423164197
2023-05-01 02:17:08,2,400,2356186318,2,400,2423557415
2023-05-01 02:22:11,0,400,2356579538,7,400,2423950637
2023-05-01 02:27:14,2,400,2356972758,4,400,2424409395
2023-05-01 02:32:16,0,400,2357365985,4,400,2424802615
2023-05-01 02:37:19,9,400,2357759203,10,400,2425195840
2023-05-01 02:42:21,3,400,2358152421,10,400,2425589057
2023-05-01 02:47:24,9,400,2358545641,10,400,2425982276
2023-05-01 02:52:27,0,400,2358938866,3,400,2426375497
2023-05-01 02:57:29,9,400,2359332083,0,400,2426768722
2023-05-01 03:02:32,5,400,2359725303,6,400,2427161938
2023-05-01 03:07:34,9,400,2360118521,0,400,2427555160
2023-05-01 03:12:37,2,400,2360511742,8,400,2427948383
2023-05-01 03:17:40,8,400,2360970502,3,400,2428341603
2023-05-01 03:22:42,2,400,2361363721,1,400,2428734823
2023-05-01 03:27:45,10,400,2361756942,9,400,2429128045
2023-05-01 03:32:48,8,400,2362150159,9,400,2429521267
2023-05-01 03:37:50,7,400,2362543385,10,400,2429914485
2023-05-01 03:42:53,0,400,2362936607,0,400,2430373239
2023-05-01 03:47:55,3,400,2363329830,1,400,2430766463
2023-05-01 03:52:58,3,400,2363723049,4,400,2431159684
2023-05-01 03:58:01,0,400,2364116269,12,400,2431552904
2023-05-01 04:03:03,9,400,2364509492,2,400,2431946129
2023-05-01 04:08:06,0,400,2364902712,0,400,2432339352
2023-05-01 04:13:09,5,400,2365295932,4,400,2432732572
2023-05-01 04:18:11,3,400,2365689158,6,400,2433125792
2023-05-01 04:23:14,0,400,2366082418,0,400,2433519057
2023-05-01 04:28:16,4,400,2366475679,13,400,2433912335
2023-05-01 04:33:19,1,400,2366868921,0,400,2434174488
2023-05-01 04:38:22,5,400,2367262163,0,400,2434240039
2023-05-01 04:43:24,0,400,2367393249,0,400,2434371126
2023-05-01 04:48:27,0,400,2367458801,0,400,2434436677
2023-05-01 04:53:29,0,400,2367589888,0,400,2434567764
2023-05-01 04:58:32,0,400,2367655439,0,400,2434633315
2023-05-01 05:03:35,0,400,2367786526,0,400,2434764403
2023-05-01 05:08:37,0,400,2367852077,0,400,2434829954
2023-05-01 05:13:40,0,400,2367983164,0,400,2434961041
2023-05-01 05:18:43,0,400,2368048716,0,400,2435092128
2023-05-01 05:23:45,0,400,2368179803,0,400,2435157679
2023-05-01 05:28:48,0,400,2368245354,0,400,2435288766
2023-05-01 05:33:50,0,400,2368376441,0,400,2435354318
2023-05-01 05:38:53,0,400,2368441992,0,400,2435485405
2023-05-01 05:43:56,0,400,2368573079,0,400,2435550956
2023-05-01 05:48:58,0,400,2368638631,0,400,2435682043
2023-05-01 05:54:01,0,400,2368769718,0,400,2435747594
2023-05-01 05:59:04,0,400,2368835269,0,400,2435878681
2023-05-01 06:04:06,0,400,2368966356,0,400,2435944233
2023-05-01 06:09:09,0,400,2369031907,0,400,2436075320
2023-05-01 06:14:11,0,400,2369162994,0,400,2436140871
2023-05-01 06:19:14,0,400,2369228545,0,400,2436271958
2023-05-01 06:24:17,0,400,2369359633,0,400,2436337509
2023-05-01 06:29:19,0,400,2369425184,0,400,2436468596
2023-05-01 06:34:22,0,400,2369556271,0,400,2436534148
2023-05-01 06:39:25,0,400,2369621822,0,400,2436665235
2023-05-01 06:44:27,0,400,2369752909,0,400,2436730786
2023-05-01 06:49:30,0,400,2369883996,0,400,2436861873
