timestamp,baseline_0,baseline_1,baseline_3
2023-05-04 15:34:31,2546700813,2489094588,2491258918
2023-05-04 15:39:32,2544734733,2487390675,2489423961
2023-05-04 15:44:33,2542834184,2485424596,2487457876
2023-05-04 15:49:35,2540868136,2483458538,2485491863
2023-05-04 15:54:36,2540474938,2481558004,2483525829
2023-05-04 15:59:37,2540802654,2480837137,2481690873
2023-05-04 16:31:43,2575078312,2511508266,2517932632
2023-05-04 16:36:44,2573112226,2509542209,2515966546
2023-05-04 16:41:46,2571146140,2507576123,2514000460
2023-05-04 16:46:47,2569245590,2505675573,2512099910
2023-05-04 16:51:49,2567279505,2503709488,2510133824
2023-05-04 16:56:50,2565313419,2501743402,2508167738
2023-05-04 17:01:51,2563347333,2499777316,2506201653
2023-05-04 17:06:53,2561381247,2497811230,2504235567
2023-05-04 17:11:54,2559415161,2495845144,2502269481
2023-05-04 17:16:55,2557514611,2493944594,2500368931
2023-05-04 17:21:57,2555548526,2491978509,2498402845
2023-05-04 17:26:58,2553582440,2490012423,2496436760
2023-05-04 17:31:59,2551616354,2488046337,2494470674
2023-05-04 17:37:01,2549650268,2486080251,2492504588
2023-05-04 17:42:02,2547749718,2484179701,2490604038
2023-05-04 17:47:04,2545783633,2482213616,2488637952
2023-05-04 17:52:05,2543817547,2480247530,2486671866
2023-05-04 17:57:06,2542244678,2478346980,2484705781
2023-05-04 18:02:08,2542113606,2478215908,2484247027
2023-05-04 18:07:09,2542048070,2478150372,2484115955
2023-05-04 18:12:10,2541916998,2478019300,2484050419
2023-05-04 18:17:12,2541851462,2477953764,2483919347
2023-05-04 18:22:13,2541720390,2477822692,2483853811
2023-05-04 18:27:14,2541654854,2477757156,2483722739
2023-05-04 18:32:16,2541523782,2477626084,2483657203
2023-05-04 18:37:17,2541458246,2477560548,2483526131
2023-05-04 18:42:19,2541327174,2477429476,2483460595
2023-05-04 18:47:20,2541261638,2477363940,2483329523
2023-05-04 18:52:21,2541130566,2477232868,2483263987
2023-05-04 18:57:23,2541065030,2477167332,2483132915
2023-05-04 19:02:24,2540933958,2477036260,2483067379
2023-05-04 19:07:25,2540868422,2476970724,2482936307
2023-05-04 19:12:27,2540737350,2476839652,2482870771
2023-05-04 19:17:28,2540671814,2476774116,2482739699
2023-05-04 19:22:30,2540540742,2476643044,2482674163
2023-05-04 19:27:31,2540475206,2476577508,2482543091
2023-05-04 19:32:32,2540344134,2476446436,2482477555
2023-05-04 19:37:34,2540278598,2476380900,2482412019
2023-05-04 19:42:35,2540147526,2476249828,2482280947
2023-05-04 19:47:36,2540081990,2476184292,2482215411
2023-05-04 19:52:38,2539950918,2476053220,2482084339
2023-05-04 19:57:39,2539885382,2475987684,2482018803
2023-05-04 20:02:40,2539754310,2475856612,2481887731
2023-05-04 20:07:42,2539688774,2475791076,2481822195
2023-05-04 20:12:43,2539557702,2475660004,2481691123
2023-05-04 20:17:45,2539492166,2475594468,2481625587
2023-05-04 20:22:46,2539361094,2475463396,2481494515
2023-05-04 20:27:47,2539295558,2475397860,2481428979
2023-05-04 20:32:49,2539164486,2475266788,2481297907
2023-05-04 20:37:50,2539098950,2475201252,2481232371
2023-05-04 20:42:51,2538967878,2475070180,2481101299
2023-05-04 20:47:53,2538902342,2475004644,2481035763
2023-05-04 20:52:54,2538771270,2474939108,2480904691
2023-05-04 20:57:55,2538705734,2474808036,2480839155
2023-05-04 21:02:57,2538574662,2474742500,2480708083
2023-05-04 21:07:58,2538509126,2474611428,2480642547
2023-05-04 21:13:00,2538378054,2474545892,2480511475
2023-05-04 21:18:01,2538312518,2474414820,2480445939
2023-05-04 21:23:02,2538181446,2474349284,2480314867
2023-05-04 21:28:04,2538115909,2474218211,2480249331
2023-05-04 21:33:05,2537984837,2474152675,2480118259
2023-05-04 21:38:06,2537919301,2474021603,2480052723
2023-05-04 21:43:08,2537788229,2473956067,2479921651
2023-05-04 21:48:09,2537722693,2473824995,2479856115
2023-05-04 21:53:10,2537657157,2473759459,2479725043
2023-05-04 21:58:12,2537526085,2473628387,2479659507
2023-05-04 22:03:13,2537460549,2473562851,2479528435
2023-05-04 22:08:15,2537329477,2473431779,2479462899
2023-05-04 22:13:16,2537263941,2473366243,2479331827
2023-05-04 22:18:17,2537132869,2473235171,2479266291
2023-05-04 22:23:19,2537067333,2473169635,2479135219
2023-05-04 22:28:20,2536936261,2473038563,2479069683
2023-05-04 22:33:21,2536870725,2472973027,2478938611
2023-05-04 22:38:23,2536739653,2472841955,2478873075
2023-05-04 22:43:24,2536674117,2472776419,2478742003
2023-05-04 22:48:25,2536543045,2472645347,2478676467
2023-05-04 22:53:27,2536477509,2472579811,2478545395
2023-05-04 22:58:28,2536346437,2472448739,2478479859
2023-05-04 23:03:30,2536280901,2472383203,2478348787
2023-05-04 23:08:31,2536149829,2472252131,2478283251
2023-05-04 23:13:32,2536084293,2472186595,2478152178
2023-05-04 23:18:34,2535953221,2472055523,2478086642
2023-05-04 23:23:35,2535887685,2471989987,2477955570
2023-05-04 23:28:36,2535756613,2471858915,2477890034
2023-05-04 23:33:38,2535691077,2471793379,2477758962
