timestamp,left_tVOC,left_CO2,left_baseline,right_tVOC,right_CO2,right_baseline
2023-04-27 09:19:28,0,409,2510983231,3,400,2572325066
2023-04-27 09:24:31,3,400,2512621804,6,400,2572456298
2023-04-27 09:29:33,0,400,2513015149,0,400,2572849633
2023-04-27 09:34:36,3,400,2513473972,8,400,2573242906
2023-04-27 09:39:39,0,400,2513867253,0,400,2573636170
2023-04-27 09:44:41,7,400,2514260522,0,400,2574029429
2023-04-27 09:49:44,0,400,2514653787,0,400,2574422679
2023-04-27 09:54:46,8,400,2515047039,8,400,2574815935
2023-04-27 09:59:49,0,400,2515440279,11,400,2575209185
2023-04-27 10:04:52,15,400,2515833543,10,400,2575602429
2023-04-27 10:09:54,0,400,2516226813,0,400,2575995676
2023-04-27 10:14:57,6,400,2516620070,10,400,2576388917
2023-04-27 10:19:59,0,400,2517013314,0,400,2576782159
2023-04-27 10:25:02,0,400,2517406544,0,400,2577240937
2023-04-27 10:30:05,0,400,2517799791,0,400,2577634158
2023-04-27 10:35:07,0,400,2518193023,12,400,2578027377
2023-04-27 10:40:10,10,400,2518586263,17,400,2578420615
2023-04-27 10:45:13,19,400,2518979487,0,400,2578813841
2023-04-27 10:50:15,13,400,2519438242,0,400,2579207067
2023-04-27 10:55:18,14,400,2519831464,12,400,2579600292
2023-04-27 11:00:20,13,400,2520224680,6,400,2579993511
2023-04-27 11:05:23,12,400,2520617896,0,400,2580386732
2023-04-27 11:10:26,13,400,2521011113,7,400,2580779951
2023-04-27 11:15:28,11,400,2521404330,0,400,2581173167
2023-04-27 11:20:31,12,400,2521797546,11,400,2581566381
2023-04-27 11:25:33,26,400,2522190762,24,400,2581959597
2023-04-27 11:30:36,38,400,2522583978,54,400,2582352813
2023-04-27 11:35:39,31,400,2522977194,29,400,2582746029
2023-04-27 20:01:23,14,420,2464583055,3,401,2528546278
2023-04-27 20:06:26,19,419,2462616969,13,411,2527104488
2023-04-27 20:11:28,14,400,2460716419,17,400,2526252514
2023-04-27 20:16:31,13,409,2459274622,5,400,2525597148
2023-04-27 20:21:34,5,410,2458488187,9,400,2525597142
2023-04-27 20:26:36,6,400,2457963900,7,400,2525662680
2023-04-27 20:31:39,8,400,2456980856,7,400,2525335000
2023-04-27 20:36:41,8,400,2456784246,2,400,2525334994
2023-04-27 20:41:44,6,403,2456391023,0,400,2525138384
2023-04-27 20:46:47,0,400,2456522094,7,400,2525400528
2023-04-27 20:51:49,9,400,2456784248,9,400,2525662675
2023-04-27 20:56:52,13,400,2457111931,10,400,2525793754
2023-04-27 21:01:55,0,406,2456849786,1,400,2526121432
2023-04-27 21:06:57,0,400,2456784255,0,400,2526449112
2023-04-27 21:12:00,4,400,2456784255,4,400,2526711259
2023-04-27 21:17:02,7,402,2456915329,3,400,2526973407
2023-04-27 21:22:05,0,400,2456784262,8,400,2526907873
2023-04-27 21:27:08,6,400,2456980874,7,403,2526907877
2023-04-27 21:32:10,7,400,2457374092,2,400,2527235562
2023-04-27 21:37:13,3,400,2457767313,7,405,2527563247
2023-04-27 21:42:16,0,400,2458094995,0,400,2527956465
2023-04-27 21:47:18,5,400,2458488212,11,406,2528218609
2023-04-27 21:52:21,1,400,2458815896,6,400,2528546296
2023-04-27 21:57:23,6,400,2459209111,3,400,2528873978
2023-04-27 22:02:26,8,400,2459602329,12,400,2529267201
2023-04-27 22:07:29,0,400,2459930014,3,400,2529529347
2023-04-27 22:12:31,5,400,2460126623,10,400,2529857032
2023-04-27 22:17:34,5,400,2460454309,4,402,2530053644
2023-04-27 22:22:37,5,400,2460650917,13,400,2530119181
2023-04-27 22:27:39,6,404,2460781993,1,400,2530250255
2023-04-27 22:32:42,4,400,2460847534,3,400,2530315795
2023-04-27 22:37:44,5,400,2460978607,9,402,2530512406
2023-04-27 22:42:47,6,400,2461175215,0,407,2530774553
2023-04-27 22:47:50,12,400,2461240758,0,400,2530971165
2023-04-27 22:52:52,7,406,2461437370,1,400,2531102243
2023-04-27 22:57:55,3,400,2461633980,11,400,2531364394
2023-04-27 23:02:57,3,401,2461765057,5,400,2531626541
2023-04-27 23:08:00,2,415,2462027202,4,400,2531888690
2023-04-27 23:13:03,1,400,2462158278,5,400,2532150839
2023-04-27 23:18:05,1,406,2462354889,6,400,2532412983
2023-04-27 23:23:08,3,400,2462682578,0,400,2532609597
2023-04-27 23:28:11,8,404,2462944727,5,400,2532871750
2023-04-27 23:33:13,0,400,2463010281,0,400,2533264968
2023-04-27 23:38:16,1,400,2463141360,7,400,2533527117
2023-04-27 23:43:18,13,400,2463272437,14,400,2533789267
2023-04-27 23:48:21,0,407,2463469049,6,400,2534051414
2023-04-27 23:53:24,5,406,2463731198,2,400,2534313560
2023-04-27 23:58:26,0,400,2463993351,4,400,2534510170
2023-04-28 00:03:29,10,400,2464189959,1,403,2534706785
2023-04-28 00:08:32,6,400,2464386569,4,403,2534903394
2023-04-28 00:13:34,5,400,2464648717,3,400,2535100006
2023-04-28 00:18:37,6,403,2464845333,5,412,2535362151
2023-04-28 00:23:39,9,413,2465041948,2,400,2535493228
2023-04-28 00:28:42,8,400,2465238557,8,403,2535689842
2023-04-28 00:33:45,9,400,2465500709,1,400,2535951991
2023-04-28 00:38:47,8,400,2465697319,4,400,2536148603
2023-04-28 00:43:50,0,400,2465959465,4,404,2536279676
2023-04-28 00:48:52,6,400,2466221613,5,410,2536541827
2023-04-28 00:53:55,4,403,2466549294,0,400,2536803973
2023-04-28 00:58:58,1,411,2466614833,7,404,2537000585
2023-04-28 01:04:00,2,412,2466614839,8,405,2537197196
2023-04-28 01:09:03,3,400,2466614841,7,400,2537328269
2023-04-28 01:14:06,9,405,2466745920,15,412,2537524883
2023-04-28 01:19:08,18,419,2466876994,7,400,2537590423
2023-04-28 01:24:11,0,412,2466942534,0,400,2537721498
2023-04-28 01:29:13,7,400,2467073607,14,402,2537787035
2023-04-28 01:34:16,5,415,2467073608,16,401,2537983650
2023-04-28 01:39:19,14,400,2467139149,13,407,2538049192
2023-04-28 01:44:21,4,411,2467270226,8,402,2538180266
2023-04-28 01:49:24,7,402,2467204694,10,413,2538311339
2023-04-28 01:54:27,9,404,2467204697,11,403,2538376877
2023-04-28 01:59:29,3,400,2467270238,14,408,2538573489
2023-04-28 02:04:32,0,400,2467335775,2,407,2538770100
2023-04-28 02:09:34,0,400,2467401313,5,411,2538835639
