timeStamp,value
0.7037587479994545,0
0.8337587479994545,0
0.9637587479994545,0
1.0937587479994546,0
1.2237587479994545,0
1.3549427410002681,0
1.4849427410002682,0
1.6149427410002684,0
1.7449427410002682,0
1.8749427410002681,0
2.0056364400001985,0
2.135636440000199,0
2.2656364400001987,0
2.3956364400001986,0
2.5256364400001985,0
2.6565902659999483,0
2.7865902659999486,0
2.9165902659999485,0
3.0465902659999484,0
3.1765902659999483,0
3.3049329119998947,0
3.434932911999895,0
3.564932911999895,0
3.694932911999895,0
3.8249329119998947,0
3.956103115999649,0
4.0861031159996495,0
4.216103115999649,0
4.346103115999649,0
4.476103115999649,0
4.606547150999613,0
4.736547150999613,0
4.8665471509996125,0
4.996547150999612,0
5.126547150999613,0
5.253801209999874,0
5.3838012099998735,0
5.513801209999873,0
5.643801209999873,0
5.773801209999874,0
5.904958749999859,0
6.034958749999859,0
6.164958749999859,0
6.294958749999859,0
6.42495874999986,0
6.556890378999451,0
6.6868903789994505,0
6.81689037899945,0
6.94689037899945,0
7.076890378999451,0
7.207599085000292,0
7.337599085000292,0
7.467599085000292,0
7.597599085000292,0
7.727599085000293,0
7.855292107999484,0
7.985292107999484,0
8.115292107999485,0
8.245292107999484,0
8.375292107999485,0
8.505976357999753,0
8.635976357999752,0
8.765976357999753,0
8.895976357999752,0
9.025976357999753,0
9.156913151000008,0
9.286913151000007,0
9.416913151000008,0
9.546913151000007,0
9.676913151000008,0
9.808343364999455,0
9.938343364999454,0
10.068343364999455,0
10.198343364999454,0
10.328343364999455,0
10.459367660000208,0
10.589367660000207,0
10.719367660000207,0
10.849367660000206,0
10.979367660000207,0
11.10710656299987,0
11.23710656299987,0
11.36710656299987,0
11.49710656299987,0
11.62710656299987,0
11.757925483999752,0
11.887925483999751,0
12.017925483999752,0
12.147925483999751,0
12.277925483999752,0
12.409270284999803,0
12.539270284999802,0
12.669270284999802,0
12.799270284999801,0
12.929270284999802,0
13.060749294999805,0
13.190749294999804,1
13.320749294999805,0
13.450749294999804,0
13.580749294999805,2
13.707683279999838,0
13.837683279999837,0
13.967683279999838,0
14.097683279999837,2
14.227683279999837,5
14.357818783999829,1
14.487818783999828,0
14.617818783999828,8
14.747818783999827,2
14.877818783999828,1
15.008551333999531,6
15.13855133399953,1
15.26855133399953,2
15.39855133399953,0
15.52855133399953,8
15.656696411999729,0
15.786696411999728,1
15.916696411999729,0
16.04669641199973,1
16.17669641199973,1
16.30787050800016,0
16.437870508000163,0
16.567870508000162,21
16.69787050800016,8
16.82787050800016,15
16.958771645000052,0
17.088771645000055,21
17.218771645000054,23
17.348771645000053,22
17.47877164500005,28
17.609554365999866,14
17.73955436599987,16
17.869554365999868,6
17.999554365999867,11
18.129554365999866,14
18.25688294299969,0
18.386882942999694,25
18.516882942999693,16
18.646882942999692,25
18.77688294299969,28
18.90867775400009,22
19.038677754000094,13
19.168677754000093,18
19.298677754000092,21
19.42867775400009,24
19.559682769999636,36
19.68968276999964,27
19.819682769999638,32
19.949682769999637,38
20.079682769999636,47
20.21072599599982,47
20.340725995999822,47
20.47072599599982,48
20.60072599599982,66
20.73072599599982,64
20.857909324999564,66
20.987909324999567,81
21.117909324999566,91
21.247909324999565,84
21.377909324999564,85
21.508899593999995,103
21.638899593999998,102
21.768899593999997,112
21.898899593999996,109
22.028899593999995,123
22.160782825999814,126
22.290782825999816,137
22.420782825999815,137
22.550782825999814,133
22.680782825999813,140
22.807685698000096,149
22.9376856980001,164
23.067685698000098,152
23.197685698000097,166
23.327685698000096,179
23.458897262999454,181
23.588897262999456,184
23.718897262999455,203
23.848897262999454,208
23.978897262999453,227
24.10986670099963,234
24.23986670099963,244
24.36986670099963,244
24.49986670099963,250
24.629866700999628,269
24.76181814599975,254
24.891818145999753,280
25.021818145999752,304
25.15181814599975,269
25.28181814599975,281
25.409088607000268,292
25.53908860700027,295
25.66908860700027,290
25.799088607000268,297
25.929088607000267,309
26.059907131000255,289
26.189907131000258,350
26.319907131000257,375
26.449907131000256,388
26.579907131000255,399
26.710988739999703,443
26.840988739999705,481
26.970988739999704,487
27.100988739999703,461
27.230988739999702,496
27.358035077000277,516
27.48803507700028,540
27.61803507700028,561
27.748035077000278,561
27.878035077000277,575
28.009989943000146,571
28.13998994300015,572
28.269989943000148,557
28.399989943000147,574
28.529989943000146,586
28.660709303000186,573
28.790709303000188,559
28.920709303000187,564
29.050709303000186,561
29.180709303000185,526
29.307534099999867,569
29.43753409999987,577
29.567534099999868,599
29.697534099999867,600
29.827534099999866,581
29.958866255999492,623
30.088866255999495,628
30.218866255999494,645
30.348866255999493,667
30.478866255999492,664
30.60987857799999,674
30.739878577999992,708
30.86987857799999,745
30.99987857799999,725
31.12987857799999,776
31.261613655999536,813
31.39161365599954,815
31.521613655999538,838
31.651613655999537,888
31.781613655999536,936
31.912887938999557,948
32.042887938999556,964
32.17288793899956,981
32.30288793899956,1031
32.432887938999556,1024
32.56011799299948,1039
32.690117992999475,1082
32.82011799299948,1075
32.95011799299948,1076
33.080117992999476,1076
33.21108073499953,1074
33.34108073499952,1041
33.471080734999525,1045
33.60108073499953,1054
33.73108073499952,1072
33.861736100999664,1025
33.99173610099966,1004
34.12173610099966,1057
34.251736100999665,1038
34.38173610099966,997
34.510015120999455,1024
34.64001512099945,981
34.77001512099945,964
34.900015120999456,996
35.03001512099945,1007
35.16092244899981,1037
35.29092244899981,1003
35.42092244899981,1067
35.55092244899981,1065
35.68092244899981,1066
35.811911735999715,1067
35.94191173599971,1105
36.07191173599971,1055
36.201911735999715,1058
36.33191173599971,1079
36.46269806499957,1114
36.59269806499957,1080
36.72269806499957,1083
36.85269806499957,1060
36.98269806499957,1088
37.1100820409997,1055
37.240082040999695,1039
37.3700820409997,1015
37.5000820409997,1020
37.630082040999696,996
37.76207896200002,1049
37.892078962000014,1056
38.022078962000016,1086
38.15207896200002,1060
38.282078962000014,1073
38.41272833399988,1097
38.542728333999875,1111
38.67272833399988,1077
38.80272833399988,1094
38.932728333999876,1071
39.05995218699944,1106
39.189952186999435,1029
39.31995218699944,1067
39.44995218699944,1057
39.579952186999435,1068
